pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction,path_clean
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.14025974025974025,0.32727272727272727,0.19189224038483796,0.2559114616967586,1.192715071178836,96,,Δ(Sx+Tx) > Δ(Sx-NoTx),Interferon Alpha Response
HALLMARK_TGF_BETA_SIGNALING,0.16744186046511628,0.37293868921775897,0.16440575583821013,0.3001869829339884,1.2179826597685108,48,,Δ(Sx+Tx) > Δ(Sx-NoTx),Tgf Beta Signaling
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.21148825065274152,0.45056192530366673,0.15419096658142434,0.2466057702632109,1.138263183992312,92,,Δ(Sx+Tx) > Δ(Sx-NoTx),Pi3k AKT mTOR Signaling
HALLMARK_ANDROGEN_RESPONSE,0.2418831168831169,0.4740909090909091,0.10925003948071095,-0.26539023203179885,-1.1285049249699894,88,,Δ(Sx+Tx) < Δ(Sx-NoTx),Androgen Response
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.23786407766990292,0.4740909090909091,0.13880510939113969,0.3013486064704209,1.1426213792117672,37,,Δ(Sx+Tx) > Δ(Sx-NoTx),Wnt β-Catenin Signaling
HALLMARK_APICAL_SURFACE,0.27294117647058824,0.5143891402714932,0.12625398784911535,0.3164612965154468,1.1242857479258035,29,,Δ(Sx+Tx) > Δ(Sx-NoTx),Apical Surface
HALLMARK_MTORC1_SIGNALING,0.2904191616766467,0.5270569971168774,0.13959967345192228,0.20508543977313778,1.0588368884825048,195,,Δ(Sx+Tx) > Δ(Sx-NoTx),Mtorc1 Signaling
HALLMARK_SPERMATOGENESIS,0.3055555555555556,0.5347222222222223,0.12325722638133735,0.24266131550046938,1.0748125953111969,70,,Δ(Sx+Tx) > Δ(Sx-NoTx),Spermatogenesis
HALLMARK_E2F_TARGETS,0.324773413897281,0.5487550786540265,0.08730982576379309,-0.22216652905915338,-1.0643245540443147,194,,Δ(Sx+Tx) < Δ(Sx-NoTx),E2f Targets
HALLMARK_IL2_STAT5_SIGNALING,0.48214285714285715,0.7875,0.10395847155995677,0.19447616947710542,0.9934004207447305,178,,Δ(Sx+Tx) > Δ(Sx-NoTx),Il2 Stat5 Signaling
HALLMARK_APICAL_JUNCTION,0.5273224043715847,0.8335096069099243,0.09344492194109945,0.19561692291088284,0.9697742061978639,143,,Δ(Sx+Tx) > Δ(Sx-NoTx),Apical Junction
HALLMARK_PEROXISOME,0.6185064935064936,0.9470880681818182,0.0582216241124161,-0.21701030312290817,-0.9227814979041458,88,,Δ(Sx+Tx) < Δ(Sx-NoTx),Peroxisome
HALLMARK_DNA_REPAIR,0.6448863636363636,0.9575585399449036,0.08431443206426534,0.18593819916963078,0.9227271133352211,146,,Δ(Sx+Tx) > Δ(Sx-NoTx),Dna Repair
HALLMARK_COMPLEMENT,0.6858006042296072,0.9655882352941175,0.08431443206426534,0.18166040385657686,0.9225118972798878,170,,Δ(Sx+Tx) > Δ(Sx-NoTx),Complement
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.6897058823529412,0.9655882352941175,0.04860342472590687,-0.18765955450299915,-0.9083542164407736,199,,Δ(Sx+Tx) < Δ(Sx-NoTx),Oxidative Phosphorylation
HALLMARK_BILE_ACID_METABOLISM,0.7317073170731707,0.9690177982860909,0.05049830441007088,-0.20469375888560973,-0.8571464613937986,78,,Δ(Sx+Tx) < Δ(Sx-NoTx),Bile Acid Metabolism
HALLMARK_XENOBIOTIC_METABOLISM,0.7145085803432137,0.9690177982860909,0.049690139272460555,-0.19815256765947012,-0.9002072663167865,141,,Δ(Sx+Tx) < Δ(Sx-NoTx),Xenobiotic Metabolism
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.7670454545454546,0.9890849282296651,0.07511816352763015,0.17675527362340682,0.8771564107088645,146,,Δ(Sx+Tx) > Δ(Sx-NoTx),Estrogen Response Early
HALLMARK_ADIPOGENESIS,0.9479166666666666,0.9929924242424242,0.03449192150940737,-0.16226512216723296,-0.768581850591978,176,,Δ(Sx+Tx) < Δ(Sx-NoTx),Adipogenesis
HALLMARK_FATTY_ACID_METABOLISM,0.838006230529595,0.9929924242424242,0.04233183935185304,-0.182144660091791,-0.8257718934396742,134,,Δ(Sx+Tx) < Δ(Sx-NoTx),Fatty Acid Metabolism
HALLMARK_G2M_CHECKPOINT,0.9727272727272728,0.9929924242424242,0.06643641376628104,0.1523318802955184,0.7845689701210941,190,,Δ(Sx+Tx) > Δ(Sx-NoTx),G2m Checkpoint
HALLMARK_HEDGEHOG_SIGNALING,0.9194395796847635,0.9929924242424242,0.04345068267231251,-0.2011541414163472,-0.6627962130861554,25,,Δ(Sx+Tx) < Δ(Sx-NoTx),Hedgehog Signaling
HALLMARK_MITOTIC_SPINDLE,0.9228486646884273,0.9929924242424242,0.06799225915440577,0.1588015858902637,0.8196387932714804,192,,Δ(Sx+Tx) > Δ(Sx-NoTx),Mitotic Spindle
HALLMARK_MYC_TARGETS_V1,0.9604685212298683,0.9929924242424242,0.03308941614543766,-0.1554546768784466,-0.7523961391311786,200,,Δ(Sx+Tx) < Δ(Sx-NoTx),Myc Targets V1
HALLMARK_NOTCH_SIGNALING,0.8643478260869565,0.9929924242424242,0.045953808103906306,-0.21836921213609653,-0.7242277739732639,26,,Δ(Sx+Tx) < Δ(Sx-NoTx),Notch Signaling
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.9675925925925926,0.9929924242424242,0.05389790253573186,0.16295406787079103,0.6679301496253106,49,,Δ(Sx+Tx) > Δ(Sx-NoTx),Reactive Oxygen Species Pathway
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.9548286604361371,0.9929924242424242,0.03630184623592365,-0.16255826706801627,-0.7204064376698507,108,,Δ(Sx+Tx) < Δ(Sx-NoTx),Unfolded Protein Response
HALLMARK_UV_RESPONSE_DN,0.9344773790951638,0.9929924242424242,0.03738064947584734,-0.1684548320098589,-0.7445972833175054,107,,Δ(Sx+Tx) < Δ(Sx-NoTx),UV response (Dn)
HALLMARK_GLYCOLYSIS,0.996996996996997,0.996996996996997,0.032505765116464115,-0.14063491607465078,-0.6560758105819334,160,,Δ(Sx+Tx) < Δ(Sx-NoTx),Glycolysis
